Story,Label,UniqueName,Section,Location,Shear Design Combo,Shear Force,Torsion for Av/s,VRebar (Av/s),TTrnCombo,Torsion for TTrnRebar,TTrnRebar (At/s),TLngCombo,Torsion for TLngRebar,TLngRebar (Al),Status
Story4,B8,72,ConcBm,End-I,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B8,72,ConcBm,Middle,DConS1,3.007,0,0,DConS1,0,0,DConS1,0,0,
Story4,B8,72,ConcBm,End-J,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B9,73,ConcBm,End-I,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B9,73,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B9,73,ConcBm,End-J,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B10,74,ConcBm,End-I,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B10,74,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B10,74,ConcBm,End-J,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B11,75,ConcBm,End-I,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B11,75,ConcBm,Middle,DConS1,3.007,0,0,DConS1,0,0,DConS1,0,0,
Story4,B11,75,ConcBm,End-J,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B12,76,ConcBm,End-I,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B12,76,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B12,76,ConcBm,End-J,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B13,77,ConcBm,End-I,DConS1,6.006,0,0,DConS1,0,0,DConS1,0,0,
Story4,B13,77,ConcBm,Middle,DConS1,3.616,0,0,DConS1,0,0,DConS1,0,0,
Story4,B13,77,ConcBm,End-J,DConS1,7.224,0,0,DConS1,0,0,DConS1,0,0,
Story4,B14,78,ConcBm,End-I,DConS1,6.615,0,0,DConS1,0,0,DConS1,0,0,
Story4,B14,78,ConcBm,Middle,DConS1,3.007,0,0,DConS1,0,0,DConS1,0,0,
